[2026-05-01T07:18:16+02:00] SESSION_START symbol=TRBUSDC dry_run=1 profile=major strategy=momentum base_url=https://api.binance.com
[2026-05-01T07:18:16+02:00] TOXIC_MEMORY_LOADED count=17 symbols=0GUSDC,AAVEUSDC,CFGUSDC,DASHUSDC,ENJUSDC,FETUSDC,GIGGLEUSDC,GUNUSDC,HBARUSDC,KITEUSDC
[2026-05-01T07:18:18+02:00] CHK MOM:0% RANGE:0% UP:0% SPREAD:0.10498687% BID:19.05 ASK:19.07 MID:19.06 P1:19.06 P2:NA P3:NA P4:NA STATE:IDLE
[2026-05-01T07:18:43+02:00] CHK MOM:0.02% RANGE:0.07% UP:22.72% SPREAD:0.10504201% BID:19.04 ASK:19.06 MID:19.04999999 P1:19.04999999 P2:19.04999999 P3:19.055 P4:19.04999999 STATE:IDLE
[2026-05-01T07:18:44+02:00] CHK MOM:0.02% RANGE:0.07% UP:21.73% SPREAD:0.10504201% BID:19.04 ASK:19.06 MID:19.04999999 P1:19.04999999 P2:19.04999999 P3:19.04999999 P4:19.055 STATE:IDLE
[2026-05-01T07:18:44+02:00] CHK MOM:0.02% RANGE:0.07% UP:21.73% SPREAD:0.10504201% BID:19.04 ASK:19.06 MID:19.04999999 P1:19.04999999 P2:19.04999999 P3:19.04999999 P4:19.055 STATE:IDLE
[2026-05-01T07:18:45+02:00] CHK MOM:0.02% RANGE:0.07% UP:21.73% SPREAD:0.10504201% BID:19.04 ASK:19.06 MID:19.04999999 P1:19.04999999 P2:19.04999999 P3:19.04999999 P4:19.055 STATE:IDLE
[2026-05-01T07:18:46+02:00] CHK MOM:-0.02% RANGE:0.07% UP:22.72% SPREAD:0.10509721% BID:19.03 ASK:19.05 MID:19.04 P1:19.04 P2:19.04999999 P3:19.04999999 P4:19.04999999 STATE:IDLE
[2026-05-01T07:18:46+02:00] CHK MOM:-0.02% RANGE:0.07% UP:22.72% SPREAD:0.10509721% BID:19.03 ASK:19.05 MID:19.04 P1:19.04 P2:19.04999999 P3:19.04999999 P4:19.04999999 STATE:IDLE
[2026-05-01T07:18:47+02:00] CHK MOM:-0.02% RANGE:0.07% UP:22.72% SPREAD:0.10509721% BID:19.03 ASK:19.05 MID:19.04 P1:19.04 P2:19.04999999 P3:19.04999999 P4:19.04999999 STATE:IDLE
[2026-05-01T07:18:47+02:00] CHK MOM:-0.02% RANGE:0.07% UP:22.72% SPREAD:0.10509721% BID:19.03 ASK:19.05 MID:19.04 P1:19.04 P2:19.04999999 P3:19.04999999 P4:19.04999999 STATE:IDLE
[2026-05-01T07:18:48+02:00] CHK MOM:-0.02% RANGE:0.07% UP:22.72% SPREAD:0.10509721% BID:19.03 ASK:19.05 MID:19.04 P1:19.04 P2:19.04999999 P3:19.04999999 P4:19.04999999 STATE:IDLE
[2026-05-01T07:18:48+02:00] CHK MOM:-0.02% RANGE:0.07% UP:22.72% SPREAD:0.10509721% BID:19.03 ASK:19.05 MID:19.04 P1:19.04 P2:19.04999999 P3:19.04999999 P4:19.04999999 STATE:IDLE
[2026-05-01T07:18:49+02:00] CHK MOM:0.02% RANGE:0.07% UP:33.33% SPREAD:0.10504201% BID:19.04 ASK:19.06 MID:19.04999999 P1:19.04999999 P2:19.04 P3:19.04999999 P4:19.04999999 STATE:IDLE
