[2026-05-01T02:03:32+02:00] SESSION_START symbol=XRPUSDC dry_run=1 profile=major strategy=momentum base_url=https://api.binance.com
[2026-05-01T02:03:32+02:00] TOXIC_MEMORY_LOADED count=17 symbols=0GUSDC,AAVEUSDC,CFGUSDC,DASHUSDC,ENJUSDC,FETUSDC,GIGGLEUSDC,GUNUSDC,HBARUSDC,KITEUSDC
[2026-05-01T02:03:34+02:00] CHK MOM:0% RANGE:0% UP:0% SPREAD:0.00730193% BID:1.3695 ASK:1.3696 MID:1.36954999 P1:1.36954999 P2:NA P3:NA P4:NA STATE:IDLE
[2026-05-01T02:04:14+02:00] CHK MOM:0.02% RANGE:0.03% UP:13.63% SPREAD:0.00729235% BID:1.3713 ASK:1.3714 MID:1.37135 P1:1.37135 P2:1.37135 P3:1.37144999 P4:1.37144999 STATE:IDLE
[2026-05-01T02:04:14+02:00] CHK MOM:0.02% RANGE:0.03% UP:13.63% SPREAD:0.00729235% BID:1.3713 ASK:1.3714 MID:1.37135 P1:1.37135 P2:1.37135 P3:1.37135 P4:1.37144999 STATE:IDLE
[2026-05-01T02:04:15+02:00] CHK MOM:0.02% RANGE:0.03% UP:14.28% SPREAD:0.00729235% BID:1.3713 ASK:1.3714 MID:1.37135 P1:1.37135 P2:1.37135 P3:1.37135 P4:1.37135 STATE:IDLE
[2026-05-01T02:04:15+02:00] CHK MOM:0.02% RANGE:0.03% UP:14.28% SPREAD:0.00729235% BID:1.3713 ASK:1.3714 MID:1.37135 P1:1.37135 P2:1.37135 P3:1.37135 P4:1.37135 STATE:IDLE
[2026-05-01T02:04:16+02:00] CHK MOM:0.02% RANGE:0.03% UP:14.28% SPREAD:0.00729235% BID:1.3713 ASK:1.3714 MID:1.37135 P1:1.37135 P2:1.37135 P3:1.37135 P4:1.37135 STATE:IDLE
[2026-05-01T02:04:16+02:00] CHK MOM:0.02% RANGE:0.03% UP:14.28% SPREAD:0.00729235% BID:1.3713 ASK:1.3714 MID:1.37135 P1:1.37135 P2:1.37135 P3:1.37135 P4:1.37135 STATE:IDLE
[2026-05-01T02:04:17+02:00] CHK MOM:0.02% RANGE:0.03% UP:14.28% SPREAD:0.00729235% BID:1.3713 ASK:1.3714 MID:1.37135 P1:1.37135 P2:1.37135 P3:1.37135 P4:1.37135 STATE:IDLE
[2026-05-01T02:04:18+02:00] CHK MOM:0.02% RANGE:0.03% UP:14.28% SPREAD:0.00729235% BID:1.3713 ASK:1.3714 MID:1.37135 P1:1.37135 P2:1.37135 P3:1.37135 P4:1.37135 STATE:IDLE
[2026-05-01T02:04:18+02:00] CHK MOM:0.02% RANGE:0.03% UP:14.28% SPREAD:0.00729235% BID:1.3713 ASK:1.3714 MID:1.37135 P1:1.37135 P2:1.37135 P3:1.37135 P4:1.37135 STATE:IDLE
[2026-05-01T02:04:19+02:00] CHK MOM:0.02% RANGE:0.03% UP:15% SPREAD:0.00729235% BID:1.3713 ASK:1.3714 MID:1.37135 P1:1.37135 P2:1.37135 P3:1.37135 P4:1.37135 STATE:IDLE
[2026-05-01T02:04:19+02:00] CHK MOM:0.02% RANGE:0.03% UP:15% SPREAD:0.00729235% BID:1.3713 ASK:1.3714 MID:1.37135 P1:1.37135 P2:1.37135 P3:1.37135 P4:1.37135 STATE:IDLE
[2026-05-01T02:04:20+02:00] CHK MOM:0% RANGE:0.01% UP:10% SPREAD:0.00729235% BID:1.3713 ASK:1.3714 MID:1.37135 P1:1.37135 P2:1.37135 P3:1.37135 P4:1.37135 STATE:IDLE
[2026-05-01T02:04:20+02:00] CHK MOM:0% RANGE:0.01% UP:10.52% SPREAD:0.00729235% BID:1.3713 ASK:1.3714 MID:1.37135 P1:1.37135 P2:1.37135 P3:1.37135 P4:1.37135 STATE:IDLE
[2026-05-01T02:04:21+02:00] CHK MOM:0% RANGE:0.01% UP:10% SPREAD:0.00729235% BID:1.3713 ASK:1.3714 MID:1.37135 P1:1.37135 P2:1.37135 P3:1.37135 P4:1.37135 STATE:IDLE
[2026-05-01T02:04:21+02:00] CHK MOM:0% RANGE:0.01% UP:5% SPREAD:0.00729235% BID:1.3713 ASK:1.3714 MID:1.37135 P1:1.37135 P2:1.37135 P3:1.37135 P4:1.37135 STATE:IDLE
[2026-05-01T02:04:22+02:00] CHK MOM:0% RANGE:0.01% UP:5% SPREAD:0.00729235% BID:1.3713 ASK:1.3714 MID:1.37135 P1:1.37135 P2:1.37135 P3:1.37135 P4:1.37135 STATE:IDLE
[2026-05-01T02:04:22+02:00] CHK MOM:-0.01% RANGE:0.01% UP:0% SPREAD:0.00729235% BID:1.3713 ASK:1.3714 MID:1.37135 P1:1.37135 P2:1.37135 P3:1.37135 P4:1.37135 STATE:IDLE
